Author,Comment
@nicoleurtal7028,I'm from Philippines at first I heard this song on tiktok I was so shock like this song is nice so I search it in yt and yeah I was so shock on the mv so fucking niceeeeee I love it
@adristinka,"seriously, this song deserves more viewers omg! CAUSE THIS SONG IS MASTERPIECE.  PERIODT."
@putrinuramalia8464,lagu ini mengingatkan ketika sedang lockdown masa masa covid ..
@chefjahat3765,"This is what i call 3 in 1. 
ART
CULTURE
MUSIC."
@badex2110,"epic song exist

TikTok : ""it's free real estate"""
@Hlsakti,"As an Indonesian, I am very proud of this song. Combining EDM culture with thick Javanese elements makes listeners shudder (even though I'm Sundanese). Congratulations weird genius, you vibrate the world of Indonesian music!
We are all waiting for your works with other local cultural combinations"
@anindiaputrihardini8109,cung yang masih suka bolak balik tiap tahun?
@laluluhurariestawijaya5550,"Suicide Squad : We have the best witch (Enchantress).
Weird Genius : Hold my beer.

This is Indonesian next level Enchantress yo."
@bloodylilyy1846,Not just a name. You're literally a weired genius.
@daristaufik9700,Produk Asli INDONESIA yg dulu sempat Mendunia lagu ini
@aidahrestiaprilia1373,it's a cool blending of Java culture and Western
@haninabilah4614,Srsly this song need to go further the way she kept Indonesian culture amazed me. Dope asf I would literally suggest this to my Malaysian friends. Love fr Malaysia️
@yutakalatifah1039,tahu lagu keren ini malah dari anak 9th alias anaku...kaget selera dia keren jg dan makna lagu ini luar biasa dng perpaduan musik yang amazing. Teruslah berkarya...gas
@restearubyz,I'm here because it's chan's room and wow it's so good that I play it over and over again the song still gives me goosebumps
@defriosaka1651,"Editor: So how many thunders do you want?
Weird Genius: Yes"
@lutfiyara5188,"Mbak sinden : pengen party karo nyinden
WG : nyoh"
@zakirComment,Ex Limkokwing student from bangladesh 🇧🇩
@yeebee2016,"""Sara Fajira goes famous""


88Rising : we'll take her thanks"
@aidenray2458,"Anjir efek pas darkside nya itu loh astagah, udah make up ala Ahmanet, aura hitam kayak kemunculan Enchantress, lightning rage Mode nya Thor.  Gila suka bngt"
@jasslyndrw1009,"this song is really amazing and i'm also proud to be an indonesian stay, thank you chan and stays"
@showUtheW4Y,Suatu hari dimana covid dimana mana belajar dirumah cuma scroll tiktok seharian
@mursalinashari7387,Asli Keren...merinding gue seriusan... pas sara fajira jatoh merinding gua gk abis2....seriusan suka pake banget banget...next level indonesian music bgt ini...
@tortugastore6004,"EDM = dancing
GAMELAN = also dancing
EDM X GAMELAN = the CONJURING 4"
@yheefira,Gak kerasa udah 2023 lagu ini masih  terngiang di kepala.. Bangga banget setelah tau ini lagu Indonesia.. respect kepada tim weird jenius
@alimasyhar6419,"Lagu ini mengingatkanku saat PSBB, PPKM, PCR, Lockdown, Social Distancing yang semua amit² jangan sampe keulang lagi"
@reus-id4010,"I was born a fool
Broken all the rules, ooh
Seeing all null
Denying all of the truth, ooh

Everything has changed
It all happened for a reason
Down from the first stage
It isn't something we fought for
Never wanted this kind of pain
Turned myself so cold and heartless
But one thing you should know

(Kowe ra iso mlayu saka kesalahan
Ajining diri ana ing lathi)

Pushing through the countless pain
And all I know that this love's a bless and curse

Everything has changed
It all happened for a reason
Down from the first stage
It isn't something we fought for
Never wanted this kind of pain
Turned myself so cold and heartless
But one thing you should know

(Kowe ra iso mlayu saka kesalahan
Ajining diri ana ing lathi)"
@rassya2056,"HUSH HUSH JANGAN DISINI
GO INTERNASIONAL AJA"
@aninolate,"They are truly a genius... How they choose ""kuda lumping"" here, it show how toxic relationship really is. In ""kuda lumping"" there is an act of eating lamp and glass, but they don't feel the pain, just like people in toxic relationship, they hurt themselves but can't feel it. 

The music , song and her voice blend perfectly... 
I play it over and over again

Great job!!!!"
@padlizilikram1186,"3,7jt like ( terbanyak di Indonesia )"
@winateguh,"Weird Genius, they’re deserve world attention"
@waliyyimafaza4086,Damn! The Javanese part always giving me goosebumps!
@minyoonyoona9594,"Lathi emang seenak itu,suka banget,kesini lagi gara-gara chans room. Emang udah suka dari dulu,musiknya keren,yahhhh bener-bener cerdas yang bikin lagu dan musiknya,terima kasih"
@Yessisuswantoro1116,Rabu 1 oktober 2025 Here
@obloproject7477,"Yang merinding entah karena bangga dan tak bisa berkata apa2..
Like sini..
Kita Trending kan semoga tembus 100 juta tayang.."
@azzamzhafiraulia5459,That’s why I like WG. They can combine our traditional music instruments with our new culture. Well played!!!
@hlove3000,"Omg amazing song. Goo 100M views
I'm From South Korea 🇰🇷"
@wieow262,"""Ajining diri ono ing ati""

 when changed into English it becomes like this=
self-esteem lies in the tongue (ethics in speaking)"
@fariedfinan3003,Really...i got goosebumped when she's singing into javanese language....i'm not kidding this is a such beautiful song....really good song.....let's go out....LET'S GO INTERNASIONAL
@yogganugraha5746,Official song FIFA WORLD CUP INDONESIA U-21  LATHI
@nadiawinters7804,"Java translate:
U CAN'T RUN FROM MISTAKES,SOMEONE'S PRIDE IS ON HIS TONGUE(HIS WORDS)"
@muliatiabdullah9106,KEREN....pokoke AMAZING TALENT
@ismirahmahandayati8491,aih seneng banget krn mayan banyak inter stay yg liat budaya indonesia disajikan sebagus ini…
@ico9005,"""You can not run away from mistakes. Self-esteem is in the way of speech."""
@8BitExe_,"Eka Gustiwana : ""I produce this music not for tik tok kids""
Btw Nice CGI effect"
@sitipatimah8586,"Tau video ini september 2025, ya ampun kemana aja gue"
@parkdeeto8632,"1 bulan tembus 19 jt viewers dan 1,3 jt likes,....


Gas terus smpe 100 jt viewers...."
@asepcool8835,"SELAMAT!!!
akhirnya 100juta views sebelum akhir bulan Desember 2020"
@jayridwansyah,ORA WG ORA PARTY
@RudiHartono-td7vu,lagunya bagus gabungan jawa dan ingris
@minhee3142,Imagine how amazing the stage is if this song get to be performed on MAMA 2020
@wonggagahchannel4957,The Best ever Indonesian tradition concept with modern genre .
@kartikanadya8266,"the song, the music, the atmosphere, the mv, the dancer, the way you potrayed indonesian culture is so awesome!! i had shiver while listening to this!! and i like the story. i guess it's about toxic relationship, am i wrong?? if so, thank you for bringing out this topic!!! waiting for your another art"
@mofimo1536,150 million views. Let's make it more
@fajarcdt254,"Wajibb trendingg oyyy, ""NO WG NO PARTY"" !!!!"
@maryannelee3263,This song should win Best Asian Artist for MAMA 2020 I really hope for it.
@ythr5654,"ANJIRR MERINDING SUMPAHH!!!! 
KEREN BANGET !!!"
@putriayuni-f7w,1 Agustus 2025 hadir
@peoplesans1493,"Never wanted this kind of pain, Turned myself so cold and heartless


Lirik yg sangat tajam"
@yunuspanjaitan2938,"SELAMAT WG 1 JUTA LIKE
SO AMAZING BROTHER
SUCCES YOU AND TEAM!!"
@renoabineri9286,She's like enchantress from the another universe
@justliz-88,Decided to dance to this song after a long time thinking about this and it was great to get my anger out
@RyanYorkieJr,"LOVE THE LYRICS, LOVE THE MUSIC, LOVE THE CONCEPT, LOVE THE INDONESIAN CULTURE... This song is done perfectly!!! Good job Indonesia!!"
@rumahcewekcantik,"gw kira 𝗗 𝗘 𝗪𝗔 𝘿 𝙊𝙍 𝘼 gak ada lawan, RUPANYA beneren tidak ada lawan. jepe terus di kasih"
@LATURNIP,"100jt views hadiah terbesar untuk Indonesia di penghujung tahun 2020
Good luck WG
Thankyou so much udah mengharumkan Indonesia di Music International"
@evlynn_cu,lagu kesukaan gw duluuuu
@gapane88,"""MASTERPIECE""
""GO INTERNASIONAL""
""KERENNN""
hanya tiga kata itu yang bisa di ungkapin"""
@adfishftnaaa6361,"My FAVORITE song, a song that is a mix of modern and especially Javanese culture, a very beautiful combination that symbolizes courage that remains noble. Loveeee yooo🇲🇨"
@wulanyamari6591,"Bagus Plus Keren, semoga karya seni kalian semakin BERKIBAR ke seluruh dunia. 

*Agnez Mo, Anggun C Sasmi,kalian nontonlah ini sebentar saja,

*Mas Alan Walker lirik-lirik sedikit lah ke mari nyimak bentaran lagu Weird Genius

Siapa tau kalian mau berkolaborasi bikin album musik dengan Weird Genius️"
@LangprayOfficial,"INDONESIA BANGGA PUNYA ""WG"" 

Dari Segi Konsep nya udah gilaaaaa, keren banget anjir, apalagi bawa unsur kebudayaan. sekali lagi KEREN buat semua yang terlibat dalam project ini."
@ririnpsptasri4966,this music video should go into trending. why tf they so underrated even in their own country. they deserve better than this!
@didincahyoofficial5035,Indonesian have musical talents from various cultures'
@ironicscrap,Gaes gimana editan parody gw:p
@justnobody9101,"Whoever produce this music, they are in a GREAT TEAM."
@AndiMauludy,Vibes ramadhan 2020 #dirumahaja #psbb
@ellnino9617,"If this song compete in Eurovision Song Contest, there's a big chance they will win at the contest..

This song is a masterpiece!"
@sihambh4435,"Oh my god the production is insane the vocals, the visuals everything's amazing I'm glad I discovered this song from Chan's room"
@richardjames2339,"Wowww.. This is what called as Masterpiece. The music, the lyrics, the vocals, those feelings when that traditional music played is Amazing. Wonderful job."
@G0BLOCK1,"Song lyrics
I was born a fool
Broken all the rules,
Seeing all nul,
Deying all of the truth,
Everything has changed,
It all happened for a reason,
Down from the first stage,,
It isn't for something we fought for,
Never wanted this kind of pain,
Turn my self so cold and heartless,
But one this you should know;
:Java: Kowe Ra ISO 'mlayu 
Saka (Soko) kesalahan,
Ajining Riri ana(Ono)
Ing LATHI
:English:pushing through the,
Countless pain, and
All i know that this love's a bless
And curse everything has changed,
It all happened for a reason,
Down from the first stage
It isn't something we fought for,
Never wanted this kind of pain,
Turned myself so cold and heartless,
But one thing you should know;!
:Java: Kowe Ra ISO 'mlayu,
Saka (Soko) kesalahan,
Ajining diri ana (Ono) 
Ing LATHI♪

Lasttt"
@fajrikurniawan8976,"if it's like this you have to go internasional introduce indonesian culture, this is the next level music indonesia. WE PROUD OF YOU!!!"
@randytriedop.1681,"The javanese enchantress, do i wrong if i have this opinion? The way ya compose the song so much great. Thumbs up..."
@abdansyukur9290,Suka bangett perpaduan jawa sama inggrisnyaa gilaaa baguss bgt asli merindirngg
@risnadamayanti28,"Selalu Merinding pas edm gamelan, keren"
@zaxep,tak berasa umur saya dah tambah 5 tahun
@apriliadeby,SUMPAH SIH INI KEREN BANGET ANJIRRRRRRRR AH
@gubby_officilal,"Anjeun Rama sawarga Lumpat ti Kasalahan kuring dina ngalakukeun bela diri Di lathi

Versi sundanya ges"
@evelynearhiandi3947,"Gua like²in semua komen yg gua liat biar trending,gila sih keren bgt"
@HilalNurfadilah,This is next level local pride🇮🇩
@putunovi1300,"Me: How to stop listening? 

Lathi : you have no way out brooooooh"
@mega.raharjo,1 oktober 2025 hadir
@blackpanther4139,"Ziggi zagga : *look i am a masterpiece 
WG : hold my wayang.."
@HajarInfo,"Sinden : ""Mas aku pengen nyinden pake party.""
WG : ""Gass. Loss ga pake lama."""
@hermadiny4563,wow  the universe should know this masterpiece exists
@tuturirayiugihayati7632,"Udah dengerin berkali² tetep aja merinding

Piye ngene iki?? Jan apike"
@dimasrhamandhaprhathama3242,"SUMPAH BERKUALITAS DONG....
And i just say THIS IS INDONESIAN STYLE.....!!!!!"
@chic1tooo923,am I the only one who get goosebump every time the song is drop ?! Like wtf? this song is so fckn great !!
@WLAZHE,"well guys actuallyyy this music video has been on top of my list but i didn't open it. Cuz i dont know who is it(group or single). And every single i watched some video and there's always been""kak react lathi dong react lathi dong"" and i was like who is it? Cuz i never heard that name. And today i saw a video and i read it again ""lathi dong kak react lathi"" and i feel okay i should find it. AND NOW THIS IS THE TIMEEEEEEEEEE WAWWWWW even i dont understand what is song about i feel amazed cuz there's indonesian culture ( jaipong tune?) if im not mistaken. As an indonesian and half javenese from my mom im so proudddd even i dont know who is weird genius or wg but again you guys are rock! Nailed it!!! Trendingkan gaesssss tembus 10jt🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩"
@farahidris5808,THIS MUSIC DESERVE MOREEEEE
@hildaindria4859,Jd teringat wkt covid
@mfr0162,"Can we all Imagine if this song is the Official Theme Song for any International Events that held in Indonesia? I mean, i imagine if Miss Universe held in indonesia"
@mnfa8562,"sinden : mas aku pengen nyinden
tapi karo party
mas : wes"
@arf_gsx_q1021,"Ko, Gw Merinding Ya Dengerin musik Nya 


Tapi ini mah keren abisss budayakan Indonesia ta, di sangka mengejutkan"
@ApriantoDeki-s3k,"Udah 5 tahun, tapi tampil lagi di beranda"
@vandoovy,3 months later  Weird Genius collab with Alan Walker in tomorrowland
@mellsssssss-n9k,The first i heard this song from my student when she did the tiktok editing i thought this was a western song but wow when i look for it on youtube its from my own country such an awesome song. I’ve fallen in love with this song and also the MV
@barbuemordez9099,Me  gusta mucho el tono vocal de la chica!!
@QiZYY-78,"i think this song was from international artist.. omg this from indonesian industry , so talented .. good jobs.. hopefully u will be the top one on international industry one day.. may god blessed u.. 

salam from malaysian"
@joshhvr,"Kok W Merinding Ya Denger Lagunya🇮🇩
Pokoknya Budaya Indonesia The Best Lah🇮🇩
We Should Proud Be Indonesia People🇮🇩"
@allisadzakwan5332,this is MASTERPIECE!!! CANT GET RID OF THE GOOSEBUMPS
@nienaarifin9575,Kesenian daerah ku jaranan kesenian nasional wayang
@w_aww_awww,"This is a good song!

Unpopular opinion; 2:21-2:26 avatar aang and fire lord ozai battle scene mode on


Edited: thanks for the likes!"
@suryaadip1004,"Salut,
Keren banget garapannya,


Diulang - ulang belum bosen eh"
@dikicandra4021,Indonesia pride
@muhammadikbbar1075,Gila sih 5 tahun sudah dan di 2025 ini gapernah bosen buat denger dan nonton video nya
@SwaritSohaard,This song is Awesome . This is one powerful song . I love this a lot . Indonesian music at its very best . Huge respect from India 🇮🇳
@yellowd3035,"I think it is just remix that someone made when i heard in tik tok. Wow this song beautiful, especially the chorus! Can't wait another song"
@ILYTH23,"Im a Mexican American, I stumbled upon this song from an indonesian makeup artist on tiktok. and I am obsessed with this song!!"
@islam_back108,"I was born a fool, 
Broken all the rules, 
(Ohh) 
Seeing all null, 
Denying all for the Truth, 
(Ohh) 
Everything has changed, 
It all happened for a reason, 
Down from the first stage, 
It Isn't for something we founght for, 
Never wanted this kind of pain, 
Turn myself so cold and heartless, 
But one thing you should know;

0:56 
Star part

Kowe ra iso 'mlayu
Saka (soko) kesalahan, 
Ajining diri ana (ono) 
Ing LATHI! 

Pushing through the, 
Countless pain, and 
All i know that this love's a bless and curse
Everything has changed, 
It all happened for a reason, 
Down from the first stage, 
It isn't something we fought for, never wanted this kind of pain,  turned myself so cold and heartless but one thing you should know;

2:16  
Star part 2

Kowe ra iso 'mlayu
Saka (soko)  kesalahan, 
Ajining diri ana (ono) 
Ing LATHI!  


END

Edit: pin me?"
@muhammadhendri4263,"Musicnya kurang ahhh



Kurang lama"
@sugiantogunawan2123,I never like upbeat songs. But I do with this one. Salute!
@mc.udaloli6453,"YA ALLAH TO BE HONEST, IM CRYING TO HEAR, AND WATCHED THIS VIDEO ALSO THE ACTOR INSIDE ! , YOU KNOW WHAT ? YOU HAVE MAKE INDONESIA PROUD WITH THIS, I HOPE YOU CAN GO INTERNATIONAL AND ALWAYS BRINGING THE SONG SUCH AS THIS , WHICH IS CONTAIN OF INDONESIA CULTURE INSIDE  :)"
@PutoriHasibuan,Judul lagu bahasa Indonesia nya like 1 dong: Saya terlahir sebagai orang bodoh melanggar semua aturan melihat semua nol menyangkal semua kebenaran semuanya telah berubah semuanya terjadi karena alasan sejak tahap pertama itu bukan untuk sesuatu yang kita perjuangkan tidak pernah ingin rasa sakit semacam ini membuat diri saya begitu dingin dan tidak berperasaan tetapi satu hal yang harus Anda ketahui Anda tidak dapat melarikan diri dari kesalahan Anda kesalahan melakukan harga diri terletak di lidah (kata-kata) mendorong melalui rasa sakit yang tak terhitung jumlahnya dan semua yang saya tahu bahwa ini semua cinta adalah berkat dan kutukan telah mengubah semuanya terjadi karena suatu alasan sejak tahap pertama itu bukan sesuatu yang kita berjuang untuk tidak pernah ingin rasa sakit seperti ini membuat diri saya begitu dingin dan tidak berperasaan tetapi satu hal yang harus Anda ketahui Anda tidak bisa lari dari kesalahan Anda salah melakukan harga diri terletak di lidah (kata-kata)
@feggymelati9471,"Big thanks to Reza who suggest that Javaness lyrics in this song. It was so fckin' epic godamnit!!
Krna setau gue lirik bagian ""kowe raiso mlayu.....dst"" itu bhs inggris kan.
Gila sih ini woy lah ah menangis sambil jatuh cinta."
@xovlovl,"Udh 100 jt aja nih,, seneng banget gw gilasihhhh karya anak bangsa,, lebih dari kata keren pokoknya,,,"
@putriyulistiarahayu2553,"Ini Epic parah sih 

Harusnya lebih bs trending dari lagu Tiktod"" goyang mamah muda ndasmu
  --- I Love Indonesia ---"
@NeneEndoh,
@mr.chunkie3973,"Iki sik jenenge luar biasa.
Edaaaan.
Pancen istimewa."
@armansubagus5347,Kalo bisa like berkali kali bakal gua like trs nih anjir
@bgsyogi9581,"Wow ini keren banget sih kalau Indonesia ada cara penghargaan buat musisi gitu nih harus banget masuk chart musik dan trending
Lagunya easy listening dan memadukan musik edm+Jawa(gamelan) dan music Vidio nya nggak kalah keren banget memadukan budaya jawaaaa sumpah ni harus banget di buat story' versi"
@vika.lelozee,You rarely get on TV? The song is great so I really want to see it on TV!
@lowButHigh24,"LANJUTTT GASSS GO INTERNATIONAL

Budayakan negara sendiri bro gih sana gass to international 
The best lah buat lu bro mantapp"
@nhojmatata8682,And this is what happens when INDONESIAN music industry took it to another level! I love it sooo damnnn muchh!!! #Salute
@fadliasyrofil8056,I really appreciate this song and all crews who were involved in making this awesome song. Hope u all guys goin to international soon
@Ryūken_ish,"tiba tiba fyp, gak kerasa udah 5 tahun lalu.."
@aldojoeee,Seriously I Amaze really Amaze...That Awsome and I can feel the purpose of every lyric plus Sarah U Damn it!! Ur voice when slow part touch my heart then move to java part OMG SARAH UR VOICE DAMN IT!!!
@mej009,to be honest tiktok brought me here....
@reksifauzi8933,A director is REZA OKTOVIAN? DAMN MAN THIS IS AMAZING
@nurliaShafiqah,Never forget this song
@oliversilver95,Can someone tell me why I’m crying? Or is it just some connection with this music
@ranggadevio590,Kenapa ya gw klo denger ini merasa bangga yg sama like
@dayangnurhima6361,"I am a Malaysian people but i love it!!  Dude u must go international level... Ahh i cannot stop heard this song  

EDIT:wahh?!Thanks for likes... I've never had so much like this"
@indahmr9067,here i am from 2020 into may 2025
@FachurroziRozi,Istimewa
@keirio9748,"that Javanese words gave me chills all over my body, as a Javanese i can really relate to the culture you tryna brought"
@Dany-ge7mh,"Efek song: Jawa
Lagu pembawa: barat 
Jadi kita tau bahwa persatuan tidak memandang negara dan kebudayaan"
@kennardputra1895,"""Enchantress"" dngan ke aripan lokal"
@ythro5829,"tradisional or modern
WG : ""why not both?"""
@just_happy88,"Selasa,30 september ."
@yunkashrin609,"When i heard this on tiktok, i thought it was a mashup. But rather the whole song."
@andodepraska,"thanks weird genius,,kalian membuat lagu perpaduan eletric dan budaya indonesia,,kejawen'y keren banget,,sukses selalu."
@lolitajunistia9765,"I cant say anything ,, i really like this song"
@yara_kaily,I'm remember when i'm 9 Years Old i wach this
@muhammadqodry6347,"merinding pas di bagian lirik jawa nya asli, enak di denger bgt"
@AriwayatBilhaq,I can’t imagine this song is coming from Indonesia if there is no Javanese lyrics. Remarkable concept of clip. It must be a lot of work.
@alvindwiaditya6300,Banyak²in like biar trend
@nakbima880,sumpah lagu terbagus kedua di indonesia bagus banget
@fadhilsaufi1519,Fuhh best weh ada jawa rhythm dalam ni. Gempak la Indonesia! Salam dari Malaysia!
@Kaminariiedits,"mendapatkan 1,2jt like dan dislike 7,3rb dalam 16jt view bukanlah hal yang biasa dalam video permusikan di youtube, itu angka yang sangat fantastik 
-
*edit
satu hari setelahnya komentar ini dipublish :
19jt view, 1,3jt like, 7,8 dislike, 997rb subs,"
@MrSandyster,"Lathi (Javanese) : Perkataan / Ucapan.
a person's personality is judged by his words"
@hj.ikrimahyuliana,2025 gw masih dengerin lagu ini
@meivs524,Lingsir Wengi Remix Full Bass left the chat . . .
@sarahnurzafira522,The only unacceptable thing about this song is it ends too soon
@pro.gaming5839,"KESEL BETT GUA KENAPA YANG EPIC BEGINI GA TRANDING !!!!! PADAHAL BANYAK ORG LUAR YG REACTION ...
PARAAHH BENERRR"
@sendifebriana,Nostalgia.
@noeyla7814,"Me: Bolos cabut sekolah pas pelajaran


Guru BK: Koe ra iso mlayu"
@pinkgangsta6157,"EDMxGamelan ini punya potensi besar banget. Banyak musisi dunia yang belum kenal sama Gamelan lalu bertanya² ""hah ini instrument apa instrument apa ?""
Soal reaction Bangchan, dia amazed dengan bagian drop sampai diulang-ulang
""Ini drop kok bisa kayak gini ?"" 
dia paling bingung bagian itu. 

Klo Gamelan ini diangkat ke internasional keren sih"
@muhammadridho6312,"Gua liat ini berulang ulang sambil ngerasain bangganya budaya Indonesia bisa dilihat di sini,
Gua jadi ngerasa bangga sendiri liatnya.
The best"
@brianglass4249,아주 좋아요
@febrisulistianagayatri8838,"Pencipta lagu, penyanyi nya, produser, dan semua yg terlibat dalam lagu ini, kalian kereeennn...
Kalian gak pantes cuma keliling indonesia, wajib go international
Trendingkan!!
Trending trending trending!!"
@ulinnafiah3160,"I was born a fool
Broken all the rules, oh-oh
Seeing all null
Denying all of the truth, oh-oh
Everything has changed
It all happened for a reason
Down from the first stage
It isn't something we fought for
Never wanted this kind of pain
Turned myself so cold and heartless
But one thing you should know
Kowe ra iso mlayu saka kesalahan
Ajining diri ana ing lathi
Pushing through the countless pain
And all I know that this love's a bless and curse
Everything has changed
It all happened for a reason
Down from the first stage
It isn't something we fought for
Never wanted this kind of pain
Turned myself so cold and heartless
But one thing you should know
Kowe ra iso mlayu saka kesalahan
Ajining diri ana ing lathi"
@rezafahleviio1,"Wong jowo like' disek boss. .
!!!"
@SYAITANNYAHU,Oktober 2025
